Title,Referance Number,Closing Date,Bid Opening Date
Laboratory Scale Aggregate Cone Crusher,CE/MANU/10/IOE23/LSCONECRUSHER,23-Feb-2023 03:00 PM,24-Feb-2023 03:00 PM
Isothermal Calorimeter,CE/MANU/09/IOE23/ISOTHERMALCAL,23-Feb-2023 03:00 PM,24-Feb-2023 03:00 PM
Isoperibol Bomb Calorimeter,CE/MANU/08/IOE23/ISOPERIBOMBCA,23-Feb-2023 03:00 PM,24-Feb-2023 03:00 PM
High Temperature Automated Loading and Controlled Cooling Furnace,CE/MANU/07/IOE23/HTACOOLFURNAC,23-Feb-2023 03:00 PM,24-Feb-2023 03:00 PM
"Upholstery works of sofa,  chairs and other allied works at NIScPR campuses at Pusa, S.V. Marg,  Maharani Bagh Guest House, New Delhi",11(8)/NIScPR/G/2022,20-Feb-2023 11:00 AM,21-Feb-2023 11:35 AM
Annual rate contract for transportation of consignments to and from vendor location to our plant site at Matikhalo,15-20637,23-Feb-2023 02:00 PM,24-Feb-2023 02:30 PM
injection insulin human insulin highly purified moncomponant regular 100iu ml ,SDNH/2022-23/122,20-Feb-2023 10:00 AM,21-Feb-2023 10:30 AM
ChemdrawSoftware,NIScPR/Pur/22-23/PAC-3,16-Feb-2023 05:00 PM,18-Feb-2023 10:00 AM
Hiring of Mahindra Bolero B6,THPS-01/2023,11-Mar-2023 05:00 PM,13-Mar-2023 11:00 AM
 Engagement of user fee agency through e-quotation at  Khantaghar Fee Plaza located at km 53.300 from km 0.000 to km 163.000 (Panikholi to Rimuli Section) on NH-215 in the State of Odisha,NHAI/13013/547/CO/ 22-23/EQ/Khantaghar FP,15-Feb-2023 11:00 AM,16-Feb-2023 11:30 AM
